year,team,link
2013,atl,https://www.minorleagueball.com/2012/11/8/3620974/atlanta-braves-top-20-prospects-for-2013
2013,az,https://www.minorleagueball.com/2012/12/20/3789070/arizona-diamondbacks-top-20-prospects-for-2013
2013,bal,https://www.minorleagueball.com/2012/11/27/3698600/baltimore-orioles-top-20-prospects-for-2013
2013,bos,https://www.minorleagueball.com/2013/1/7/3848710/boston-red-sox-top-20-prospects-for-2013
2013,chc,https://www.minorleagueball.com/2012/12/2/3718190/chicago-cubs-top-20-prospects-for-2013
2013,chw,https://www.minorleagueball.com/2012/12/26/3803190/chicago-white-sox-top-20-prospects-for-2013
2013,cin,https://www.minorleagueball.com/2013/1/13/3871536/cincinnati-reds-top-20-prospects-for-2013
2013,cle,https://www.minorleagueball.com/2012/12/14/3765366/cleveland-indians-top-20-prospects-for-2013
2013,col,https://www.minorleagueball.com/2013/1/12/3866800/colorado-rockies-top-20-prospects-for-2013
2013,det,https://www.minorleagueball.com/2012/11/19/3664262/detroit-tigers-top-20-prospects-for-2013
2013,hou,https://www.minorleagueball.com/2012/12/11/3755850/houston-astros-top-20-prospects-for-2013
2013,kc,https://www.minorleagueball.com/2012/11/13/3643050/kansas-city-royals-top-20-prospects-for-2013
2013,laa,https://www.minorleagueball.com/2013/1/10/3863510/los-angeles-angels-top-20-prospects-for-2013
2013,lad,https://www.minorleagueball.com/2013/1/3/3827966/los-angeles-dodgers-top-20-prospects-for-2013
2013,mia,https://www.minorleagueball.com/2012/12/8/3745088/miami-marlins-top-20-prospects-for-2013
2013,mil,https://www.minorleagueball.com/2013/1/6/3842642/milwaukee-brewers-top-20-prospects-for-2013
2013,min,https://www.minorleagueball.com/2012/10/29/3568278/minnesota-twins-top-20-prospects-for-2013
2013,nym,https://www.minorleagueball.com/2012/12/16/3775304/new-york-mets-top-20-prospects-for-2013
2013,nyy,https://www.minorleagueball.com/2012/12/21/3790880/new-york-yankees-top-20-prospects-for-2013
2013,oak,https://www.minorleagueball.com/2012/12/18/3779782/oakoakoak
2013,phi,https://www.minorleagueball.com/2012/12/30/3819856/philadelphia-phillies-top-20-prospects-for-2013
2013,pit,https://www.minorleagueball.com/2012/11/24/3686110/pittsburgh-pirates-top-20-prospects-for-2013
2013,sd,https://www.minorleagueball.com/2013/1/9/3856360/san-diego-padres-top-20-prospects-for-2013
2013,sea,https://www.minorleagueball.com/2013/1/5/3838474/seattle-mariners-top-20-prospects-for-2013
2013,sf,https://www.minorleagueball.com/2012/11/16/3656784/san-francisco-giants-top-20-prospects-for-2013
2013,stl,https://www.minorleagueball.com/2012/12/23/3796242/st-louis-cardinals-top-20-prospects-for-2013
2013,tb,https://www.minorleagueball.com/2013/1/2/3827824/tampa-bay-rays-top-20-prospects-for-2013
2013,tex,https://www.minorleagueball.com/2012/12/29/3815628/texas-rangers-top-20-prospects-for-2013
2013,tor,https://www.minorleagueball.com/2012/12/5/3731258/toronto-blue-jays-top-20-prospects-for-2013
2013,was,https://www.minorleagueball.com/2012/12/27/3809440/washington-nationals-top-20-prospects-for-2013
2014,atl,https://www.minorleagueball.com/2013/12/4/5173214/atlanta-braves-top-20-prospects-for-2014
2014,az,https://www.minorleagueball.com/2014/2/24/5443410/arizona-diamondbacks-top-20-prospects-for-2014
2014,bal,https://www.minorleagueball.com/2014/1/26/5336980/baltimore-orioles-top-20-prospects-for-2014
2014,bos,https://www.minorleagueball.com/2014/1/1/5264914/boston-red-sox-top-20-prospects-for-2014
2014,chc,https://www.minorleagueball.com/2014/1/8/5288446/chicago-cubs-top-20-prospects-for-2014
2014,chw,https://www.minorleagueball.com/2014/3/2/5461844/chicago-white-sox-top-20-prospects-for-2014
2014,cin,https://www.minorleagueball.com/2014/1/22/5324840/cincinnati-reds-top-20-prospects-for-2014
2014,cle,https://www.minorleagueball.com/2014/4/11/5603266/cleveland-indians-top-20-prospects-for-2014
2014,col,https://www.minorleagueball.com/2014/4/13/5599418/colorado-rockies-top-20-prospects-for-2014
2014,det,https://www.minorleagueball.com/2014/4/4/5580662/detroit-tigers-top-20-prospects-for-2014
2014,hou,https://www.minorleagueball.com/2014/2/18/5423408/houston-astros-top-20-prospects-for-2014
2014,kc,https://www.minorleagueball.com/2013/12/16/5175172/kansas-city-royals-top-20-prospects-for-2014
2014,laa,https://www.minorleagueball.com/2014/1/11/5297876/los-angeles-angels-top-20-prospects-for-2014
2014,lad,https://www.minorleagueball.com/2014/3/18/5523032/los-angeles-dodgers-top-20-prospects-for-2014
2014,mia,https://www.minorleagueball.com/2014/3/7/5480228/miami-marlins-top-20-prospects-for-2014
2014,mil,https://www.minorleagueball.com/2014/1/30/5363560/milwaukee-brewers-top-20-prospects-for-2014
2014,min,https://www.minorleagueball.com/2013/10/15/4838866/minnesota-twins-top-20-prospects-for-2014
2014,nym,https://www.minorleagueball.com/2014/1/13/5303318/new-york-mets-top-20-prospects-for-2014
2014,nyy,https://www.minorleagueball.com/2014/3/12/5501226/new-york-yankees-top-20-prospects-for-2014
2014,oak,https://www.minorleagueball.com/2014/4/7/5587354/oakland-athletics-top-20-prospects-for-2014
2014,phi,https://www.minorleagueball.com/2014/4/9/5599262/philadelphia-phillies-top-20-prospects-for-2014
2014,pit,https://www.minorleagueball.com/2014/3/25/5547092/pittsburgh-pirates-top-20-prospects-for-2014
2014,sd,https://www.minorleagueball.com/2014/3/31/5568906/san-diego-padres-top-20-prospects-for-2014
2014,sea,https://www.minorleagueball.com/2014/4/14/5614726/seattle-mariners-top-20-prospects-for-2014
2014,sf,https://www.minorleagueball.com/2013/12/28/5252406/san-francisco-giants-top-20-prospects-for-2014
2014,stl,https://www.minorleagueball.com/2014/4/6/5586364/st-louis-cardinals-top-20-prospects-for-2014
2014,tb,https://www.minorleagueball.com/2014/3/29/5561198/tampa-bay-rays-top-20-prospects-for-2014
2014,tex,https://www.minorleagueball.com/2014/3/21/5531956/texas-rangers-top-20-prospects-for-2014
2014,tor,https://www.minorleagueball.com/2014/1/18/5299592/toronto-blue-jays-top-20-prospects-for-2014
2014,was,https://www.minorleagueball.com/2014/4/16/5615262/washington-nationals-top-20-prospects-for-2014
2015,atl,https://www.minorleagueball.com/2014/11/11/7183475/atlanta-braves-top-20-prospects-for-2015
2015,az,https://www.minorleagueball.com/2014/12/27/7455207/arizona-diamondbacks-top-20-prospects-for-2015
2015,bal,https://www.minorleagueball.com/2014/12/1/7312039/baltimore-orioles-top-20-prospects-for-2015
2015,bos,https://www.minorleagueball.com/2015/1/19/7815629/boston-red-sox-top-20-prospects-for-2015
2015,chc,https://www.minorleagueball.com/2014/12/7/7351045/chicago-cubs-top-20-prospects-for-2015
2015,chw,https://www.minorleagueball.com/2015/2/2/7961627/chicago-white-sox-top-20-prospects-for-2015
2015,cin,https://www.minorleagueball.com/2015/2/13/8035451/cincinnati-reds-top-20-prospects-for-2015
2015,cle,https://www.minorleagueball.com/2014/12/20/7429347/cleveland-indians-top-20-prospects-for-2015
2015,col,https://www.minorleagueball.com/2015/2/5/7987483/colorado-rockies-top-20-prospects-for-2015
2015,det,https://www.minorleagueball.com/2015/1/14/7547309/detroit-tigers-top-20-prospects-for-2015
2015,hou,https://www.minorleagueball.com/2015/1/27/7879301/houston-astros-top-20-prospects-for-2015
2015,kc,https://www.minorleagueball.com/2014/11/18/7204121/kansas-city-royals-top-20-prospects-for-2015
2015,laa,https://www.minorleagueball.com/2015/2/16/8047917/los-angeles-angels-top-20-prospects-for-2015
2015,lad,https://www.minorleagueball.com/2015/3/9/8176769/los-angeles-dodgers-top-20-prospects-for-2015
2015,mia,https://www.minorleagueball.com/2015/2/22/8083965/miami-marlins-top-20-prospects-for-2015
2015,mil,https://www.minorleagueball.com/2015/1/2/7482797/milwaukee-brewers-top-20-prospects-for-2015
2015,min,https://www.minorleagueball.com/2014/11/8/7157261/minnesota-twins-top-20-prospects-for-2015-sickels
2015,nym,https://www.minorleagueball.com/2014/12/16/7402313/new-york-mets-top-20-prospects-for-2015
2015,nyy,https://www.minorleagueball.com/2015/2/9/8005199/new-york-yankees-top-20-prospects-for-2015
2015,oak,https://www.minorleagueball.com/2015/3/6/8163517/oakland-athletics-top-20-prospects-for-2015
2015,phi,https://www.minorleagueball.com/2015/1/30/7952783/philadelphia-phillies-top-20-prospects-for-2015
2015,pit,https://www.minorleagueball.com/2015/1/23/7878709/pittsburgh-pirates-top-20-prospects-for-2015
2015,sd,https://www.minorleagueball.com/2015/1/17/7629429/san-diego-padres-top-20-prospects-for-2015
2015,sea,https://www.minorleagueball.com/2015/1/7/7511835/seattle-mariners-top-20-prospects-for-2015
2015,sf,https://www.minorleagueball.com/2014/11/25/7277203/san-francisco-giants-top-20-prospects-for-2015
2015,stl,https://www.minorleagueball.com/2015/3/3/8144173/st-louis-cardinals-top-20-prospects-for-2015
2015,tb,https://www.minorleagueball.com/2015/2/28/8128001/tampa-bay-rays-top-20-prospects-for-2015
2015,tex,https://www.minorleagueball.com/2014/12/13/7387791/texas-rangers-top-20-prospects-for-2015
2015,tor,https://www.minorleagueball.com/2014/12/29/7466457/toronto-blue-jays-top-20-prospects-for-2015
2015,was,https://www.minorleagueball.com/2015/1/10/7523759/washington-nationals-top-20-prospects-for-2015
2016,atl,https://www.minorleagueball.com/2015/11/11/9715764/atlanta-braves-top-20-prospects-for-2016
2016,az,https://www.minorleagueball.com/2016/2/17/11008934/arizona-diamondbacks-top-20-prospects-for-2016
2016,bal,https://www.minorleagueball.com/2016/2/13/10983046/baltimore-orioles-top-20-prospects-for-2016
2016,bos,https://www.minorleagueball.com/2015/12/6/9855842/boston-red-sox-top-20-prospects-for-2016
2016,chc,https://www.minorleagueball.com/2016/1/20/10762082/chicago-cubs-top-20-prospects-for-2016
2016,chw,https://www.minorleagueball.com/2016/3/10/11187410/chicago-white-sox-top-20-prospects-for-2016
2016,cin,https://www.minorleagueball.com/2016/2/12/10974890/cincinnati-reds-top-20-prospects-for-2016
2016,cle,https://www.minorleagueball.com/2015/11/28/9812550/cleveland-indians-top-20-prospects-for-2016
2016,col,https://www.minorleagueball.com/2016/3/8/11177752/colorado-rockies-top-20-prospects-for-2016
2016,det,https://www.minorleagueball.com/2016/2/21/11039940/detroit-tigers-top-20-prospects-for-2016
2016,hou,https://www.minorleagueball.com/2016/2/28/11131432/houston-astros-top-20-prospects-for-2016
2016,kc,https://www.minorleagueball.com/2015/11/19/9724708/kansas-city-royals-top-20-prospects-for-2016
2016,laa,https://www.minorleagueball.com/2016/2/2/10902230/los-angeles-angels-top-20-prospects-for-2016
2016,lad,https://www.minorleagueball.com/2015/12/26/10667994/los-angeles-dodgers-top-20-prospects-for-2016
2016,mia,https://www.minorleagueball.com/2016/1/9/10743380/miami-marlins-top-20-prospects-for-2016
2016,mil,https://www.minorleagueball.com/2015/12/2/9814812/milwaukee-brewers-top-20-prospects-for-2016
2016,min,https://www.minorleagueball.com/2015/11/5/9677606/minnesota-twins-top-20-prospects-for-2016
2016,nym,https://www.minorleagueball.com/2015/11/23/9784990/new-york-mets-top-20-prospects-for-2016
2016,nyy,https://www.minorleagueball.com/2016/1/24/10825018/new-york-yankees-top-20-prospects-for-2016
2016,oak,https://www.minorleagueball.com/2016/1/12/10743974/oakland-athletics-top-20-prospects-for-2016
2016,phi,https://www.minorleagueball.com/2016/2/6/10927520/philadelphia-phillies-top-20-prospects-for-2016
2016,pit,https://www.minorleagueball.com/2016/3/12/11211854/pittsburgh-pirates-top-20-prospects-for-2016
2016,sd,https://www.minorleagueball.com/2016/3/14/11221078/san-diego-padres-top-20-prospects-for-2016
2016,sea,https://www.minorleagueball.com/2016/3/13/11214576/seattle-mariners-top-20-prospects-for-2016
2016,sf,https://www.minorleagueball.com/2016/1/29/10872600/san-francisco-giants-top-20-prospects-for-2016
2016,stl,https://www.minorleagueball.com/2016/3/3/11131712/st-louis-cardinals-top-20-prospects-for-2016
2016,tb,https://www.minorleagueball.com/2016/3/5/11165064/tampa-bay-rays-top-20-prospects-for-2016
2016,tex,https://www.minorleagueball.com/2016/2/8/10943266/texas-rangers-top-20-prospects-for-2016
2016,tor,https://www.minorleagueball.com/2015/12/30/10681308/toronto-blue-jays-top-20-prospects-for-2016
2016,was,https://www.minorleagueball.com/2016/2/23/11103520/washington-nationals-top-20-prospects-list-for-2016
2017,atl,https://www.minorleagueball.com/2016/11/18/13681446/atlanta-braves-top-20-prospects-for-2017
2017,az,https://www.minorleagueball.com/2016/12/2/13810450/arizona-diamondbacks-top-20-prospects-for-2017
2017,bal,https://www.minorleagueball.com/2017/1/13/14265522/baltimore-orioles-top-20-prospects-for-2017
2017,bos,https://www.minorleagueball.com/2016/12/29/14119404/boston-red-sox-top-20-prospects-for-2017
2017,chc,https://www.minorleagueball.com/2016/11/26/13734136/chicago-cubs-top-20-prospects-for-2017
2017,chw,https://www.minorleagueball.com/2017/1/3/14156566/chicago-white-sox-top-20-prospects-for-2017
2017,cin,https://www.minorleagueball.com/2017/1/31/14461816/cincinnati-reds-top-20-prospects-for-2017
2017,cle,https://www.minorleagueball.com/2016/11/30/13795534/cleveland-indians-top-20-prospects-for-2017
2017,col,https://www.minorleagueball.com/2017/1/20/14336574/colorado-rockies-top-20-prospects-for-2017
2017,det,https://www.minorleagueball.com/2017/1/18/14315262/detroit-tigers-top-20-prospects-for-2017
2017,hou,https://www.minorleagueball.com/2016/12/12/13927492/houston-astros-top-20-prospects-for-2017
2017,kc,https://www.minorleagueball.com/2016/11/21/13708310/kansas-city-royals-top-20-prospects-for-2017
2017,laa,https://www.minorleagueball.com/2017/1/24/14375846/los-angeles-angels-top-20-prospects-for-2017
2017,lad,https://www.minorleagueball.com/2017/1/6/14193446/los-angeles-dodgers-top-20-prospects-for-2017
2017,mia,https://www.minorleagueball.com/2017/1/26/14400624/miami-marlins-top-20-prospects-for-2017
2017,mil,https://www.minorleagueball.com/2017/1/17/14297686/milwaukee-brewers-top-20-prospects-for-2017
2017,min,https://www.minorleagueball.com/2016/11/8/13555840/minnesota-twins-top-20-prospects-for-2017
2017,nym,https://www.minorleagueball.com/2017/1/12/14229332/new-york-mets-top-20-prospects-for-2017
2017,nyy,https://www.minorleagueball.com/2016/12/6/13856026/new-york-yankees-top-20-prospects-for-2017
2017,oak,https://www.minorleagueball.com/2017/1/9/14218632/oakland-athletics-top-20-prospects-for-2017
2017,phi,https://www.minorleagueball.com/2016/12/27/14090122/philadelphia-phillies-top-20-prospects-for-2017
2017,pit,https://www.minorleagueball.com/2016/12/31/14136268/pittsburgh-pirates-top-20-prospects-for-2017
2017,sd,https://www.minorleagueball.com/2017/2/3/14505292/san-diego-padres-top-20-prospects-for-2017
2017,sea,https://www.minorleagueball.com/2017/2/2/14487642/seattle-mariners-top-20-prospects-for-2017
2017,sf,https://www.minorleagueball.com/2016/12/20/14025292/san-francisco-giants-top-50-prospects-for-2017
2017,stl,https://www.minorleagueball.com/2016/12/15/13972006/st-louis-cardinals-top-20-prospects-for-2017
2017,tb,https://www.minorleagueball.com/2016/12/19/14007150/tampa-bay-rays-top-20-prospects-for-2017
2017,tex,https://www.minorleagueball.com/2016/12/23/14064042/texas-rangers-top-20-prospects-for-2017
2017,tor,https://www.minorleagueball.com/2017/1/27/14404856/toronto-blue-jays-top-20-prospects-for-2017
2017,was,https://www.minorleagueball.com/2016/12/9/13903682/washington-nationals-top-20-prospects-for-2017
2018,atl,https://www.minorleagueball.com/2017/11/3/16604520/atlanta-braves-top-20-prospects-for-2018
2018,az,https://www.minorleagueball.com/2017/12/15/16783586/arizona-diamondbacks-top-20-prospects-for-2018
2018,bal,https://www.minorleagueball.com/2018/1/26/16938286/baltimore-orioles-top-20-prospects-for-2018
2018,bos,https://www.minorleagueball.com/2018/1/11/16880690/boston-red-sox-top-20-prospects-for-2018
2018,chc,https://www.minorleagueball.com/2017/12/2/16728854/chicago-cubs-top-20-prospects-for-2018
2018,chw,https://www.minorleagueball.com/2018/2/11/17002234/chicago-white-sox-top-20-prospects-for-2018
2018,cin,https://www.minorleagueball.com/2018/1/18/16906222/cincinnati-reds-top-20-prospects-for-2018
2018,cle,https://www.minorleagueball.com/2018/1/4/16841254/cleveland-indians-top-20-prospects-for-2018
2018,col,https://www.minorleagueball.com/2018/2/7/16980914/colorado-rockies-top-20-prospects-for-2018
2018,det,https://www.minorleagueball.com/2018/3/1/17069296/detroit-tigers-top-20-prospects-for-2018
2018,hou,https://www.minorleagueball.com/2017/11/27/16707660/houston-astros-top-20-prospects-for-2018
2018,kc,https://www.minorleagueball.com/2017/11/9/16630650/kansas-city-royals-top-20-prospects-for-2018
2018,laa,https://www.minorleagueball.com/2018/2/2/16965542/los-angeles-angels-top-20-prospects-for-2018
2018,lad,https://www.minorleagueball.com/2017/11/16/16652008/los-angeles-dodgers-top-20-prospects-for-2018
2018,mia,https://www.minorleagueball.com/2018/1/24/16929958/miami-marlins-top-20-prospects-for-2018
2018,mil,https://www.minorleagueball.com/2018/2/21/17038344/milwaukee-brewers-top-20-prospects-for-2018
2018,min,https://www.minorleagueball.com/2017/10/24/16537288/minnesota-twins-top-20-prospects-for-2018
2018,nym,https://www.minorleagueball.com/2018/2/14/17015250/new-york-mets-top-20-prospects-for-2018
2018,nyy,https://www.minorleagueball.com/2017/12/8/16754038/new-york-yankees-top-20-prospects-for-2018
2018,oak,https://www.minorleagueball.com/2017/12/20/16802272/oakland-athletics-top-20-prospects-for-2018
2018,phi,https://www.minorleagueball.com/2018/3/5/17078808/philadelphia-phillies-top-20-prospects-for-2018
2018,pit,https://www.minorleagueball.com/2018/1/30/16952252/pittsburgh-pirates-top-20-prospects-for-2018
2018,sd,https://www.minorleagueball.com/2018/1/9/16870800/san-diego-padres-top-20-prospects-for-2018
2018,sea,https://www.minorleagueball.com/2018/1/22/16920836/seattle-mariners-top-20-prospects-for-2018
2018,sf,https://www.minorleagueball.com/2018/2/28/17061970/san-francisco-giants-top-20-prospects-for-2018
2018,stl,https://www.minorleagueball.com/2018/3/10/17105620/st-louis-cardinals-top-20-prospects-for-2018
2018,tb,https://www.minorleagueball.com/2018/2/24/17048436/tampa-bay-rays-top-20-prospects-for-2018
2018,tex,https://www.minorleagueball.com/2018/2/17/17024054/texas-rangers-top-20-prospects-for-2018
2018,tor,https://www.minorleagueball.com/2018/3/8/17097712/toronto-blue-jays-top-20-prospects-for-2018
2018,was,https://www.minorleagueball.com/2017/12/24/16816918/washington-nationals-top-20-prospects-for-2018
